week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2026-01-05,PROD001,STORE001,115,0,24,91,0
2026-01-05,PROD002,STORE001,143,0,32,111,0
2026-01-05,PROD003,STORE001,200,0,38,162,0
2026-01-05,PROD004,STORE001,134,0,25,109,0
2026-01-05,PROD005,STORE001,63,0,13,50,0
2026-01-05,PROD006,STORE001,51,0,16,35,0
2026-01-05,PROD007,STORE001,73,0,16,57,0
2026-01-05,PROD008,STORE001,41,0,12,29,0
2026-01-05,PROD009,STORE001,229,0,69,160,0
2026-01-05,PROD010,STORE001,115,0,30,85,0
2026-01-05,PROD011,STORE001,103,0,23,80,0
2026-01-05,PROD012,STORE001,199,0,46,153,0
2026-01-05,PROD013,STORE001,74,0,18,56,0
2026-01-05,PROD014,STORE001,75,0,23,52,0
2026-01-05,PROD015,STORE001,63,0,18,45,0
2026-01-05,PROD016,STORE001,76,0,17,59,0
2026-01-05,PROD017,STORE001,76,0,23,53,0
2026-01-05,PROD018,STORE001,123,0,27,96,0
2026-01-05,PROD019,STORE001,79,0,27,52,0
2026-01-05,PROD020,STORE001,63,0,17,46,0
2026-01-05,PROD001,STORE002,469,0,145,324,0
2026-01-05,PROD002,STORE002,650,0,134,516,0
2026-01-05,PROD003,STORE002,526,0,157,369,0
2026-01-05,PROD004,STORE002,329,0,86,243,0
2026-01-05,PROD005,STORE002,183,0,55,128,0
2026-01-05,PROD006,STORE002,228,0,51,177,0
2026-01-05,PROD007,STORE002,413,0,82,331,0
2026-01-05,PROD008,STORE002,201,0,58,143,0
2026-01-05,PROD009,STORE002,1153,0,276,877,0
2026-01-05,PROD010,STORE002,478,0,148,330,0
2026-01-05,PROD011,STORE002,296,0,92,204,0
2026-01-05,PROD012,STORE002,951,0,196,755,0
2026-01-05,PROD013,STORE002,459,0,95,364,0
2026-01-05,PROD014,STORE002,340,0,72,268,0
2026-01-05,PROD015,STORE002,247,0,70,177,0
2026-01-05,PROD016,STORE002,312,0,71,241,0
2026-01-05,PROD017,STORE002,525,0,110,415,0
2026-01-05,PROD018,STORE002,503,0,118,385,0
2026-01-05,PROD019,STORE002,437,0,183,254,0
2026-01-05,PROD020,STORE002,351,0,81,270,0
2026-01-05,PROD001,STORE003,269,0,83,186,0
2026-01-05,PROD002,STORE003,300,0,69,231,0
2026-01-05,PROD003,STORE003,447,0,94,353,0
2026-01-05,PROD004,STORE003,204,0,51,153,0
2026-01-05,PROD005,STORE003,173,0,43,130,0
2026-01-05,PROD006,STORE003,144,0,49,95,0
2026-01-05,PROD007,STORE003,136,0,55,81,0
2026-01-05,PROD008,STORE003,87,0,24,63,0
2026-01-05,PROD009,STORE003,412,0,120,292,0
2026-01-05,PROD010,STORE003,266,0,78,188,0
2026-01-05,PROD011,STORE003,242,0,59,183,0
2026-01-05,PROD012,STORE003,400,0,91,309,0
2026-01-05,PROD013,STORE003,183,0,54,129,0
2026-01-05,PROD014,STORE003,146,0,35,111,0
2026-01-05,PROD015,STORE003,145,0,33,112,0
2026-01-05,PROD016,STORE003,112,0,32,80,0
2026-01-05,PROD017,STORE003,230,0,76,154,0
2026-01-05,PROD018,STORE003,260,0,63,197,0
2026-01-05,PROD019,STORE003,292,0,111,181,0
2026-01-05,PROD020,STORE003,210,0,44,166,0
2026-01-05,PROD001,STORE004,266,0,78,188,0
2026-01-05,PROD002,STORE004,329,0,78,251,0
2026-01-05,PROD003,STORE004,476,0,117,359,0
2026-01-05,PROD004,STORE004,251,0,61,190,0
2026-01-05,PROD005,STORE004,109,0,29,80,0
2026-01-05,PROD006,STORE004,154,0,56,98,0
2026-01-05,PROD007,STORE004,197,0,49,148,0
2026-01-05,PROD008,STORE004,77,0,25,52,0
2026-01-05,PROD009,STORE004,475,0,141,334,0
2026-01-05,PROD010,STORE004,230,0,70,160,0
2026-01-05,PROD011,STORE004,299,0,57,242,0
2026-01-05,PROD012,STORE004,410,0,120,290,0
2026-01-05,PROD013,STORE004,135,0,40,95,0
2026-01-05,PROD014,STORE004,207,0,48,159,0
2026-01-05,PROD015,STORE004,162,0,38,124,0
2026-01-05,PROD016,STORE004,116,0,32,84,0
2026-01-05,PROD017,STORE004,308,0,104,204,0
2026-01-05,PROD018,STORE004,320,0,79,241,0
2026-01-05,PROD019,STORE004,261,0,67,194,0
2026-01-05,PROD020,STORE004,158,0,39,119,0
2026-01-05,PROD001,STORE005,543,0,118,425,0
2026-01-05,PROD002,STORE005,491,0,112,379,0
2026-01-05,PROD003,STORE005,603,0,138,465,0
2026-01-05,PROD004,STORE005,438,0,91,347,0
2026-01-05,PROD005,STORE005,258,0,66,192,0
2026-01-05,PROD006,STORE005,239,0,51,188,0
2026-01-05,PROD007,STORE005,320,0,94,226,0
2026-01-05,PROD008,STORE005,236,0,55,181,0
2026-01-05,PROD009,STORE005,697,0,204,493,0
2026-01-05,PROD010,STORE005,552,0,138,414,0
2026-01-05,PROD011,STORE005,368,0,97,271,0
2026-01-05,PROD012,STORE005,555,0,161,394,0
2026-01-05,PROD013,STORE005,332,0,67,265,0
2026-01-05,PROD014,STORE005,328,0,94,234,0
2026-01-05,PROD015,STORE005,293,0,63,230,0
2026-01-05,PROD016,STORE005,257,0,59,198,0
2026-01-05,PROD017,STORE005,296,0,93,203,0
2026-01-05,PROD018,STORE005,443,0,223,220,0
2026-01-05,PROD019,STORE005,725,0,228,497,0
2026-01-05,PROD020,STORE005,308,0,66,242,0
2026-01-05,PROD001,STORE006,446,0,87,359,0
2026-01-05,PROD002,STORE006,366,0,104,262,0
2026-01-05,PROD003,STORE006,643,0,204,439,0
2026-01-05,PROD004,STORE006,457,0,141,316,0
2026-01-05,PROD005,STORE006,237,0,49,188,0
2026-01-05,PROD006,STORE006,198,0,69,129,0
2026-01-05,PROD007,STORE006,319,0,93,226,0
2026-01-05,PROD008,STORE006,263,0,57,206,0
2026-01-05,PROD009,STORE006,1180,0,236,944,0
2026-01-05,PROD010,STORE006,453,0,142,311,0
2026-01-05,PROD011,STORE006,424,0,97,327,0
2026-01-05,PROD012,STORE006,677,0,195,482,0
2026-01-05,PROD013,STORE006,275,0,70,205,0
2026-01-05,PROD014,STORE006,402,0,95,307,0
2026-01-05,PROD015,STORE006,194,0,58,136,0
2026-01-05,PROD016,STORE006,263,0,56,207,0
2026-01-05,PROD017,STORE006,361,0,78,283,0
2026-01-05,PROD018,STORE006,452,0,101,351,0
2026-01-05,PROD019,STORE006,526,0,155,371,0
2026-01-05,PROD020,STORE006,362,0,98,264,0
2026-01-05,PROD001,STORE007,860,0,156,704,0
2026-01-05,PROD002,STORE007,860,0,194,666,0
2026-01-05,PROD003,STORE007,1475,0,460,1015,0
2026-01-05,PROD004,STORE007,447,0,126,321,0
2026-01-05,PROD005,STORE007,364,0,77,287,0
2026-01-05,PROD006,STORE007,391,0,126,265,0
2026-01-05,PROD007,STORE007,501,0,148,353,0
2026-01-05,PROD008,STORE007,453,0,107,346,0
2026-01-05,PROD009,STORE007,1821,0,442,1379,0
2026-01-05,PROD010,STORE007,733,0,257,476,0
2026-01-05,PROD011,STORE007,526,0,160,366,0
2026-01-05,PROD012,STORE007,881,0,272,609,0
2026-01-05,PROD013,STORE007,572,0,142,430,0
2026-01-05,PROD014,STORE007,464,0,146,318,0
2026-01-05,PROD015,STORE007,347,0,103,244,0
2026-01-05,PROD016,STORE007,389,0,101,288,0
2026-01-05,PROD017,STORE007,670,0,280,390,0
2026-01-05,PROD018,STORE007,741,0,164,577,0
2026-01-05,PROD019,STORE007,784,0,211,573,0
2026-01-05,PROD020,STORE007,371,0,115,256,0
2026-01-05,PROD001,STORE008,537,0,132,405,0
2026-01-05,PROD002,STORE008,525,0,127,398,0
2026-01-05,PROD003,STORE008,905,0,205,700,0
2026-01-05,PROD004,STORE008,487,0,104,383,0
2026-01-05,PROD005,STORE008,151,0,39,112,0
2026-01-05,PROD006,STORE008,270,0,68,202,0
2026-01-05,PROD007,STORE008,251,0,75,176,0
2026-01-05,PROD008,STORE008,199,0,37,162,0
2026-01-05,PROD009,STORE008,1154,0,254,900,0
2026-01-05,PROD010,STORE008,516,0,144,372,0
2026-01-05,PROD011,STORE008,286,0,93,193,0
2026-01-05,PROD012,STORE008,769,0,176,593,0
2026-01-05,PROD013,STORE008,256,0,70,186,0
2026-01-05,PROD014,STORE008,345,0,78,267,0
2026-01-05,PROD015,STORE008,225,0,113,112,0
2026-01-05,PROD016,STORE008,201,0,60,141,0
2026-01-05,PROD017,STORE008,318,0,100,218,0
2026-01-05,PROD018,STORE008,424,0,108,316,0
2026-01-05,PROD019,STORE008,629,0,159,470,0
2026-01-05,PROD020,STORE008,358,0,81,277,0
2026-01-05,PROD001,STORE009,112,0,28,84,0
2026-01-05,PROD002,STORE009,134,0,31,103,0
2026-01-05,PROD003,STORE009,147,0,56,91,0
2026-01-05,PROD004,STORE009,112,0,27,85,0
2026-01-05,PROD005,STORE009,42,0,11,31,0
2026-01-05,PROD006,STORE009,77,0,15,62,0
2026-01-05,PROD007,STORE009,58,0,19,39,0
2026-01-05,PROD008,STORE009,56,0,12,44,0
2026-01-05,PROD009,STORE009,313,0,63,250,0
2026-01-05,PROD010,STORE009,114,0,29,85,0
2026-01-05,PROD011,STORE009,108,0,23,85,0
2026-01-05,PROD012,STORE009,158,0,39,119,0
2026-01-05,PROD013,STORE009,85,0,19,66,0
2026-01-05,PROD014,STORE009,80,0,20,60,0
2026-01-05,PROD015,STORE009,88,0,20,68,0
2026-01-05,PROD016,STORE009,56,0,15,41,0
2026-01-05,PROD017,STORE009,93,0,22,71,0
2026-01-05,PROD018,STORE009,112,0,31,81,0
2026-01-05,PROD019,STORE009,94,0,46,48,0
2026-01-05,PROD020,STORE009,66,0,17,49,0
2026-01-05,PROD001,STORE010,166,0,62,104,0
2026-01-05,PROD002,STORE010,104,0,21,83,0
2026-01-05,PROD003,STORE010,146,0,36,110,0
2026-01-05,PROD004,STORE010,63,0,20,43,0
2026-01-05,PROD005,STORE010,47,0,14,33,0
2026-01-05,PROD006,STORE010,50,0,11,39,0
2026-01-05,PROD007,STORE010,85,0,17,68,0
2026-01-05,PROD008,STORE010,48,0,12,36,0
2026-01-05,PROD009,STORE010,202,0,56,146,0
2026-01-05,PROD010,STORE010,87,0,28,59,0
2026-01-05,PROD011,STORE010,147,0,32,115,0
2026-01-05,PROD012,STORE010,206,0,85,121,0
2026-01-05,PROD013,STORE010,73,0,16,57,0
2026-01-05,PROD014,STORE010,61,0,16,45,0
2026-01-05,PROD015,STORE010,75,0,26,49,0
2026-01-05,PROD016,STORE010,78,0,16,62,0
2026-01-05,PROD017,STORE010,88,0,23,65,0
2026-01-05,PROD018,STORE010,106,0,23,83,0
2026-01-05,PROD019,STORE010,93,0,41,52,0
2026-01-05,PROD020,STORE010,75,0,36,39,0
2026-01-05,PROD001,STORE011,906,0,241,665,0
2026-01-05,PROD002,STORE011,551,0,188,363,0
2026-01-05,PROD003,STORE011,1063,0,287,776,0
2026-01-05,PROD004,STORE011,595,0,194,401,0
2026-01-05,PROD005,STORE011,392,0,100,292,0
2026-01-05,PROD006,STORE011,464,0,107,357,0
2026-01-05,PROD007,STORE011,529,0,136,393,0
2026-01-05,PROD008,STORE011,394,0,99,295,0
2026-01-05,PROD009,STORE011,1627,0,539,1088,0
2026-01-05,PROD010,STORE011,917,0,497,420,0
2026-01-05,PROD011,STORE011,738,0,209,529,0
2026-01-05,PROD012,STORE011,1122,0,538,584,0
2026-01-05,PROD013,STORE011,498,0,125,373,0
2026-01-05,PROD014,STORE011,711,0,153,558,0
2026-01-05,PROD015,STORE011,441,0,110,331,0
2026-01-05,PROD016,STORE011,461,0,97,364,0
2026-01-05,PROD017,STORE011,604,0,142,462,0
2026-01-05,PROD018,STORE011,944,0,419,525,0
2026-01-05,PROD019,STORE011,1065,0,269,796,0
2026-01-05,PROD020,STORE011,539,0,129,410,0
2026-01-05,PROD001,STORE012,97,0,46,51,0
