week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2026-01-05,PROD001,STORE001,North,24,47.76,0,None,0.0
2026-01-05,PROD002,STORE001,North,32,63.68,0,None,0.0
2026-01-05,PROD003,STORE001,North,38,56.62,0,None,0.0
2026-01-05,PROD004,STORE001,North,25,62.25,0,None,0.0
2026-01-05,PROD005,STORE001,North,13,58.37,0,None,0.0
2026-01-05,PROD006,STORE001,North,16,63.84,0,None,0.0
2026-01-05,PROD007,STORE001,North,16,47.84,0,None,0.0
2026-01-05,PROD008,STORE001,North,12,59.88,0,None,0.0
2026-01-05,PROD009,STORE001,North,69,68.31,0,None,0.0
2026-01-05,PROD010,STORE001,North,30,53.7,0,None,0.0
2026-01-05,PROD011,STORE001,North,23,52.67,0,None,0.0
2026-01-05,PROD012,STORE001,North,46,59.34,0,None,0.0
2026-01-05,PROD013,STORE001,North,18,53.82,0,None,0.0
2026-01-05,PROD014,STORE001,North,23,68.77,0,None,0.0
2026-01-05,PROD015,STORE001,North,18,62.82,0,None,0.0
2026-01-05,PROD016,STORE001,North,17,64.43,0,None,0.0
2026-01-05,PROD017,STORE001,North,23,57.27,0,None,0.0
2026-01-05,PROD018,STORE001,North,27,59.13,0,None,0.0
2026-01-05,PROD019,STORE001,North,27,51.03,0,None,0.0
2026-01-05,PROD020,STORE001,North,17,55.93,0,None,0.0
2026-01-05,PROD001,STORE002,South,145,288.55,0,None,0.0
2026-01-05,PROD002,STORE002,South,134,266.66,0,None,0.0
2026-01-05,PROD003,STORE002,South,157,233.93,0,None,0.0
2026-01-05,PROD004,STORE002,South,86,214.14,0,None,0.0
2026-01-05,PROD005,STORE002,South,55,246.95,0,None,0.0
2026-01-05,PROD006,STORE002,South,51,203.49,0,None,0.0
2026-01-05,PROD007,STORE002,South,82,245.18,0,None,0.0
2026-01-05,PROD008,STORE002,South,58,289.42,0,None,0.0
2026-01-05,PROD009,STORE002,South,276,273.24,0,None,0.0
2026-01-05,PROD010,STORE002,South,148,264.92,0,None,0.0
2026-01-05,PROD011,STORE002,South,92,210.68,0,None,0.0
2026-01-05,PROD012,STORE002,South,196,252.84,0,None,0.0
2026-01-05,PROD013,STORE002,South,95,284.05,0,None,0.0
2026-01-05,PROD014,STORE002,South,72,215.28,0,None,0.0
2026-01-05,PROD015,STORE002,South,70,244.3,0,None,0.0
2026-01-05,PROD016,STORE002,South,71,269.09,0,None,0.0
2026-01-05,PROD017,STORE002,South,110,273.9,0,None,0.0
2026-01-05,PROD018,STORE002,South,118,258.42,0,None,0.0
2026-01-05,PROD019,STORE002,South,183,345.87,1,Display Space,0.0
2026-01-05,PROD020,STORE002,South,81,266.49,0,None,0.0
2026-01-05,PROD001,STORE003,North,83,165.17,0,None,0.0
2026-01-05,PROD002,STORE003,North,69,137.31,0,None,0.0
2026-01-05,PROD003,STORE003,North,94,140.06,0,None,0.0
2026-01-05,PROD004,STORE003,North,51,126.99,0,None,0.0
2026-01-05,PROD005,STORE003,North,43,193.07,1,Display Space,0.0
2026-01-05,PROD006,STORE003,North,49,146.63,1,Discount,25.0
2026-01-05,PROD007,STORE003,North,55,164.45,1,Display Space,0.0
2026-01-05,PROD008,STORE003,North,24,119.76,0,None,0.0
2026-01-05,PROD009,STORE003,North,120,118.8,0,None,0.0
2026-01-05,PROD010,STORE003,North,78,139.62,0,None,0.0
2026-01-05,PROD011,STORE003,North,59,135.11,0,None,0.0
2026-01-05,PROD012,STORE003,North,91,117.39,0,None,0.0
2026-01-05,PROD013,STORE003,North,54,161.46,0,None,0.0
2026-01-05,PROD014,STORE003,North,35,104.65,0,None,0.0
2026-01-05,PROD015,STORE003,North,33,115.17,0,None,0.0
2026-01-05,PROD016,STORE003,North,32,121.28,0,None,0.0
2026-01-05,PROD017,STORE003,North,76,141.93,1,Discount,25.0
2026-01-05,PROD018,STORE003,North,63,137.97,0,None,0.0
2026-01-05,PROD019,STORE003,North,111,188.81,1,Discount,10.0
2026-01-05,PROD020,STORE003,North,44,144.76,0,None,0.0
2026-01-05,PROD001,STORE004,West,78,155.22,0,None,0.0
2026-01-05,PROD002,STORE004,West,78,155.22,0,None,0.0
2026-01-05,PROD003,STORE004,West,117,174.33,0,None,0.0
2026-01-05,PROD004,STORE004,West,61,151.89,0,None,0.0
2026-01-05,PROD005,STORE004,West,29,130.21,0,None,0.0
2026-01-05,PROD006,STORE004,West,56,178.75,1,Discount,20.0
2026-01-05,PROD007,STORE004,West,49,146.51,0,None,0.0
2026-01-05,PROD008,STORE004,West,25,124.75,0,None,0.0
2026-01-05,PROD009,STORE004,West,141,139.59,0,None,0.0
2026-01-05,PROD010,STORE004,West,70,125.3,0,None,0.0
2026-01-05,PROD011,STORE004,West,57,130.53,0,None,0.0
2026-01-05,PROD012,STORE004,West,120,154.8,0,None,0.0
2026-01-05,PROD013,STORE004,West,40,119.6,0,None,0.0
2026-01-05,PROD014,STORE004,West,48,143.52,0,None,0.0
2026-01-05,PROD015,STORE004,West,38,132.62,0,None,0.0
2026-01-05,PROD016,STORE004,West,32,121.28,0,None,0.0
2026-01-05,PROD017,STORE004,West,104,129.48,1,BOGO,50.0
2026-01-05,PROD018,STORE004,West,79,173.01,0,None,0.0
2026-01-05,PROD019,STORE004,West,67,126.63,0,None,0.0
2026-01-05,PROD020,STORE004,West,39,128.31,0,None,0.0
2026-01-05,PROD001,STORE005,North,118,234.82,0,None,0.0
2026-01-05,PROD002,STORE005,North,112,222.88,0,None,0.0
